,CIN,Document Name,Date of Filling
68,U85110RJ2007PTC025459,Certificate of Registration of Mortgage-181013.PDF,18/10/2013
69,U85110RJ2007PTC025459,Certificate of Registration for Modification of Mortgage-310113.PDF,31/01/2013
70,U85110RJ2007PTC025459,Fresh Certificate of Incorporation Consequent upon  Change of Name-090710.PDF,12/07/2010
71,U85110RJ2007PTC025459,Certificate of Registration of Mortgage-140910.PDF,15/09/2010
72,U85110RJ2007PTC025459,Certificate of Registration for Modification of Mortgage-300611.PDF,30/06/2011
73,U85110RJ2007PTC025459,Certificate of Registration for Modification of Mortgage-170812.PDF,17/08/2012
74,U85110RJ2007PTC025459,Fresh Certificate of Incorporation Consequent upon Change of Name on Conversion to Private Limited Company-291012.PDF,30/10/2012
75,U85110RJ2007PTC025459,Certificate of Registration of Mortgage-100613.PDF,10/06/2013
76,U85110RJ2007PTC025459,Certificate of Registration of Mortgage-181013.PDF,18/10/2013
77,U85110RJ2007PTC025459,Certificate of Registration for Modification of Mortgage-310113.PDF,31/01/2013
78,U85110RJ2007PTC025459,Certificate of Registration of Mortgage-210714.PDF,21/07/2014
79,U85110RJ2007PTC025459,Certificate of Registration of Mortgage-200814.PDF,20/08/2014
80,U85110RJ2007PTC025459,Certificate of Registration of Mortgage-280514.PDF,19/06/2014
81,U85110RJ2007PTC025459,Certificate of Registration of Mortgage-210714.PDF,21/07/2014
82,U85110RJ2007PTC025459,Certificate of Registration of Mortgage-200814.PDF,20/08/2014
83,U85110RJ2007PTC025459,Certificate of Registration of Mortgage-280514.PDF,19/06/2014
84,U85110RJ2007PTC025459,Certificate of Registration of Mortgage-210714.PDF,21/07/2014
85,U85110RJ2007PTC025459,Certificate of Registration of Mortgage-200814.PDF,20/08/2014
86,U85110RJ2007PTC025459,Certificate of Registration of Mortgage-280514.PDF,19/06/2014
87,U85110RJ2007PTC025459,Certificate of Registration of Mortgage-210714.PDF,21/07/2014
88,U85110RJ2007PTC025459,Certificate of Registration of Mortgage-200814.PDF,20/08/2014
89,U85110RJ2007PTC025459,Certificate of Registration of Mortgage-280514.PDF,19/06/2014
90,U85110RJ2007PTC025459,Certificate of Registration of Mortgage-210714.PDF,21/07/2014
91,U85110RJ2007PTC025459,Certificate of Registration of Mortgage-200814.PDF,20/08/2014
92,U85110RJ2007PTC025459,Certificate of Registration of Mortgage-280514.PDF,19/06/2014
93,U85110RJ2007PTC025459,Certificate of Registration of Mortgage-210714.PDF,21/07/2014
94,U85110RJ2007PTC025459,Certificate of Registration of Mortgage-200814.PDF,20/08/2014
95,U85110RJ2007PTC025459,Certificate of Registration of Mortgage-280514.PDF,19/06/2014
96,U85110RJ2007PTC025459,Certificate of Registration of Mortgage-210714.PDF,21/07/2014
97,U85110RJ2007PTC025459,Certificate of Registration of Mortgage-200814.PDF,20/08/2014
98,U85110RJ2007PTC025459,Certificate of Registration of Mortgage-280514.PDF,19/06/2014
99,U85110RJ2007PTC025459,Certificate of Registration of Mortgage-210714.PDF,21/07/2014
100,U85110RJ2007PTC025459,Certificate of Registration of Mortgage-200814.PDF,20/08/2014
101,U85110RJ2007PTC025459,Certificate of Registration of Mortgage-280514.PDF,19/06/2014
102,U85110RJ2007PTC025459,Certificate of Registration of Mortgage-210714.PDF,21/07/2014
103,U85110RJ2007PTC025459,Certificate of Registration of Mortgage-200814.PDF,20/08/2014
104,U85110RJ2007PTC025459,Certificate of Registration of Mortgage-280514.PDF,19/06/2014
105,U85110RJ2007PTC025459,Certificate of Registration of Mortgage-210714.PDF,21/07/2014
106,U85110RJ2007PTC025459,Certificate of Registration of Mortgage-200814.PDF,20/08/2014
107,U85110RJ2007PTC025459,Certificate of Registration of Mortgage-280514.PDF,19/06/2014
108,U85110RJ2007PTC025459,Certificate of Registration of Mortgage-210714.PDF,21/07/2014
109,U85110RJ2007PTC025459,Certificate of Registration of Mortgage-200814.PDF,20/08/2014
110,U85110RJ2007PTC025459,Certificate of Registration of Mortgage-280514.PDF,19/06/2014
111,U85110RJ2007PTC025459,Certificate of Registration of Mortgage-210714.PDF,21/07/2014
112,U85110RJ2007PTC025459,Certificate of Registration of Mortgage-200814.PDF,20/08/2014
